"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","","","","","","","",""
"2","CASES","","","","","","",""
"3","373","4","","11","","","",""
"4","","","","","","","",""
"5","CANADA","","","","","","",""
"6","Ontario","140","0","","","5","Source",""
"7","British Columbia","103","4","","1","6","Source",""
"8","Alberta","56","0","","","","Source",""
"9","Quebec","50","0","","","","Source",""
"10","Manitoba","7","0","","","","Source",""
"11","New Brunswick","6","0","","","","Source",""
"12","Saskatchewan","6","0","","","","Source",""
"13","Nova Scotia","3","0","","","","Source",""
"14","Prince Edward Island","1","0","","","","Source",""
"15","Newfoundland & Labrador","1","0","","","","Source",""
"16","Northwest Territories","0","0","","","","",""
"17","Nunavut","0","0","","","","",""
"18","Yukon","0","0","","","","",""
"19","TOTAL","373","4","0","1","11","",""
