"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","Currently being updated","","","","","","",""
"2","","","","","","","",""
"3","CASES","","","RECOVERED","","","",""
"4","183,438","7,163","","79,986","","96,289","",""
"5","","","","","","","",""
"6","OTHER PLACES","","","Serious","Critical","","",""
"7","China","80,881","3,226","2,830","-","68,869","Source",""
"8","Italy","27,980","2,158","1,851","-","2,749","Source",""
"9","Iran","14,991","853","-","-","4,996","Source",""
"10","Spain","9,942","342","432","-","530","Source",""
"11","South Korea","8,320","81","-","36","1,401","Source",""
"12","Germany","7,272","17","-","2","67","Source",""
"13","France","6,633","148","300","-","12","Source",""
"14","United States","4,578","87","60","4","9","",""
"15","Switzerland","2,330","19","-","-","4","Source",""
"16","United Kingdom","1,543","55","20","-","52","Source",""
"17","Netherlands","1,413","24","-","45","2","Source",""
"18","Norway","1,347","3","-","-","","Source",""
"19","Belgium","1,085","10","53","-","1","Source",""
"20","Sweden","1,121","7","-","-","","Source",""
"21","Austria","1016","3","-","-","6","Source",""
"22","Denmark","932","1","-","-","","Source",""
"23","Japan","835","28","32","-","164","Source",""
"24","Diamond Princess","712","7","14","-","458","Source",""
"25","Malaysia","553","0","12","-","42","Source",""
"26","Qatar","439","0","-","-","4","Source",""
"27","Canada","373","4","-","1","11","",""
"28","Australia","383","5","-","-","27","",""
"29","Czech Republic","383","0","2","0","3","Source",""
"30","Greece","352","4","5","-","10","Source",""
"31","Portugal","331","1","18","","2","Source",""
"32","Israel","304","0","4","-","5","Source",""
"33","Brazil","296","0","-","-","1","Source",""
"34","Finland","272","0","-","-","1","Source",""
"35","Slovenia","253","1","0","0","0","Source",""
"36","Singapore","243","0","-","13","109","Source",""
"37","Bahrain","229","1","-","3","81","Source",""
"38","Ireland","223","2","","","","Source",""
"39","Estonia","205","0","-","-","1","Source",""
"40","Poland","205","5","2","0","0","Source",""
"41","Iceland","192","0","1","-","","Source",""
"42","Pakistan","187","0","-","-","4","Source",""
"43","Thailand","177","1","1","-","38","Source",""
"44","Romania","168","0","-","-","9","Source",""
"45","Egypt","166","4","-","-","27","Source",""
"46","Hong Kong","158","4","2","2","88","Source",""
"47","Chile","156","0","","","","Source",""
"48","Philippines","142","12","1","-","3","Source",""
"49","Indonesia","134","5","","","8","Source",""
"50","Saudi Arabia","133","0","","","6","Source",""
"51","Iraq","133","10","-","-","32","Source",""
"52","India","125","3","-","-","13","Source",""
"53","Kuwait","123","0","4","-","12","Source",""
"54","San Marino","115","9","11","-","4","Source",""
"55","Lebanon","109","3","-","2","","Source",""
"56","United Arab Emirates","98","0","-","-","26","Source",""
"57","Russia","93","0","-","-","4","Source",""
"58","Peru","86","0","8","","1","Source",""
"59","Mexico","82","0","-","1","3","Source",""
"60","Luxembourg","81","1","","","","Source",""
"61","Taiwan","77","1","0","0","22","Source",""
"62","Slovakia","72","0","","","","Source",""
"63","Panama","69","1","7","","","Source",""
"64","Bulgaria","67","2","","","","Source",""
"65","Argentina","65","2","","","","Source",""
"66","Croatia","65","0","-","-","1","Source",""
"67","Serbia","65","0","1","","","Source",""
"68","South Africa","62","0","","","","Source",""
"69","Vietnam","61","0","-","-","16","Source",""
"70","Algeria","60","4","-","-","10","Source",""
"71","Ecuador","58","2","2","","","Source",""
"72","Colombia","57","0","","","","Source",""
"73","Brunei","54","0","","","","Source",""
"74","Armenia","52","0","","","1","Source",""
"75","Albania","51","1","3","","0","Source",""
"76","Hungary","50","1","-","-","2","Source",""
"77","Latvia","49","0","","","","Source",""
"78","Turkey","47","0","","","","Source",""
"79","Cyprus","46","0","","","","Source",""
"80","Costa Rica","41","0","1","","","Source",""
"81","Palestine","39","0","0","0","0","Source",""
"82","Morocco","37","1","","","","Source",""
"83","Belarus","36","0","-","-","3","Source",""
"84","Georgia","35","0","1","-","1","Source",""
