"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery ",""
"1","Updated throughout the day","","","","","","",""
"2","CASES","","","","","","",""
"3","4,643","87","","8","","","",""
"4","","","","","","","",""
"5","UNITED STATES","","","","","","Links",""
"6","New York","950","7","60","","","Source",""
"7","Washington","904","48","","","1","Source",""
"8","California","392","11","","1","1","Source",""
"9","Massachusetts","197","0","","","","Source",""
"10","New Jersey","178","3","","","","Source",""
"11","Colorado","160","1","","","","Source",""
"12","Florida","155","4","","","","Source",""
"13","Georgia","121","1","","","","Source",""
"14","Louisiana","114","3","","","","Source",""
"15","Illinois","105","0","","","2","Source",""
"16","Pennsylvania","63","0","","1","","Source",""
"17","Texas","57","0","","1","","Source",""
"18","Minnesota","54","0","","1","","Source",""
"19","Michigan","54","0","","","","Source",""
"20","Tennessee","52","0","","","","Source",""
"21","Virginia","51","2","","","","Source",""
"22","Ohio","50","0","","","","Source",""
"23","Oregon","47","1","","","","Source",""
"24","Wisconsin","47","0","","","1","Source",""
"25","Diamond Princess","46","0","","","2","Source",""
"26","Nevada","45","1","","","","Source",""
"27","Connecticut","41","0","","","","Source",""
"28","Utah","39","0","","","","Source",""
"29","Maryland","37","0","","","0","Source",""
"30","South Carolina","33","1","","","","Source",""
"31","North Carolina","33","0","","","","Source",""
"32","Alabama","29","0","","","","Source",""
"33","Indiana","24","1","","","","Source",""
"34","Iowa","22","0","","","","Source",""
"35","Kentucky","22","1","","","","Source",""
"36","Arkansas","22","0","","","","Source",""
"37","Grand Princess","21","0","","","","Source",""
"38","Rhode Island","21","0","","","","Source",""
"39","New Mexico","21","0","","","","Source",""
"40","Nebraska","18","0","","","","Source",""
"41","Arizona","18","0","","","1","Source",""
"42","Maine","17","0","","","","Source",""
"43","District of Columbia","16","0","","","","Source",""
"44","New Hampshire","13","0","","","","Source",""
"45","Mississippi","12","0","","","","Source",""
"46","Vermont","12","0","","","","Source",""
"47","South Dakota","10","1","","","","Source",""
"48","Oklahoma","10","0","","","","Source",""
"49","Hawaii","10","0","","","","Source",""
"50","Kansas","7","1","","","","Source",""
"51","Delaware","7","0","","","","Source",""
"52","Montana","6","0","","","","Source",""
"53","Missouri","6","0","","","","Source",""
"54","Puerto Rico","5","0","","","","Source",""
"55","Idaho","5","0","","","","Source",""
"56","Wuhan","3","0","","","","",""
"57","Guam","3","0","","","","",""
"58","Wyoming","3","0","","","","Source",""
"59","Alaska","3","0","","","","Source",""
"60","U.S. Virgin Islands","1","0","","","","Source",""
"61","North Dakota","1","0","","","","Source",""
"62","West Virginia","0","0","","","","",""
"63","American Samoa","0","0","","","","",""
"64","Northern Mariana Islands","0","0","","","","",""
"65","","250","0","","","","",""
"66","U.S. TOTAL","4,643","87","60","4","8","",""
"67","","","","","","","",""
